A,B,C,D,E
1.4288654615084795,0.21266969677913913,0.7334892801358112,0.39233710236453695,0.9546294882080001
1.2893026546992687,-0.9939276231934873,0.09689873298793812,1.5860161877759626,0.07912498939783943
-0.12873636092581398,1.4850371788812984,-0.814872083902278,0.4052501893011421,0.30484632210124646
0.26104886068984506,-0.4027780521814839,0.4042444731766657,-0.910816488530295,-0.15279936249640141
0.6919122900338727,-2.7676430035674557,-1.810714234105439,0.41755893279376405,0.05006626792482262
0.46595506484350924,1.3702101050742506,-0.384588462327928,1.0287918293605343,0.6678945373560229
-0.49657006389133407,-0.9870816308516558,0.29517450967058284,-0.7448125465260619,-0.37966528817343864
-0.3906969193348332,2.621071719490745,-1.772400625400135,-0.7780175659483602,-0.9940177938999115
-0.2860122331069366,1.614774958171835,1.3163199791848934,1.889889503554904,0.04318849031941675
0.5250308709429354,-0.9949510456433468,0.15296298087144172,-0.027038295580600037,-1.0324157600692838
